State,District,Level,Name,TOT_P
27,530,DISTRICT,Kolhapur,3876001
27,531,DISTRICT,Sangli,2822143
28,000,STATE,ANDHRA PRADESH,84580777
28,532,DISTRICT,Adilabad,2741239
28,533,DISTRICT,Nizamabad,2551335
28,534,DISTRICT,Karimnagar,3776269
28,535,DISTRICT,Medak,3033288
28,536,DISTRICT,Hyderabad,3943323
28,537,DISTRICT,Rangareddy,5296741
28,538,DISTRICT,Mahbubnagar,4053028
28,539,DISTRICT,Nalgonda,3488809
28,540,DISTRICT,Warangal,3512576
28,541,DISTRICT,Khammam,2797370
28,542,DISTRICT,Srikakulam,2703114
28,543,DISTRICT,Vizianagaram,2344474
28,544,DISTRICT,Visakhapatnam,4290589
28,545,DISTRICT,East Godavari,5154296
28,546,DISTRICT,West Godavari,3936966
28,547,DISTRICT,Krishna,4517398
28,548,DISTRICT,Guntur,4887813
28,549,DISTRICT,Prakasam,3397448
28,550,DISTRICT,Sri Potti Sriramulu Nellore,2963557
28,551,DISTRICT,Y.S.R.,2882469
28,552,DISTRICT,Kurnool,4053463
28,553,DISTRICT,Anantapur,4081148
28,554,DISTRICT,Chittoor,4174064
29,000,STATE,KARNATAKA,61095297
29,555,DISTRICT,Belgaum,4779661
29,556,DISTRICT,Bagalkot ,1889752
29,557,DISTRICT,Bijapur,2177331
29,558,DISTRICT,Bidar,1703300
29,559,DISTRICT,Raichur,1928812
29,560,DISTRICT,Koppal,1389920
29,561,DISTRICT,Gadag,1064570
29,562,DISTRICT,Dharwad,1847023
29,563,DISTRICT,Uttara Kannada,1437169
29,564,DISTRICT,Haveri,1597668
29,565,DISTRICT,Bellary,2452595
29,566,DISTRICT,Chitradurga,1659456
29,567,DISTRICT,Davanagere,1945497
29,568,DISTRICT,Shimoga,1752753
29,569,DISTRICT,Udupi,1177361
29,570,DISTRICT,Chikmagalur,1137961
29,571,DISTRICT,Tumkur,2678980
29,572,DISTRICT,Bangalore,9621551
29,573,DISTRICT,Mandya,1805769
29,574,DISTRICT,Hassan,1776421
29,575,DISTRICT,Dakshina Kannada,2089649
29,576,DISTRICT,Kodagu,554519
29,577,DISTRICT,Mysore,3001127
29,578,DISTRICT,Chamarajanagar,1020791
29,579,DISTRICT,Gulbarga,2566326
29,580,DISTRICT,Yadgir,1174271
29,581,DISTRICT,Kolar,1536401
29,582,DISTRICT,Chikkaballapura,1255104
29,584,DISTRICT,Ramanagara,1082636
30,000,STATE,GOA,1458545
30,585,DISTRICT,North Goa,818008
30,586,DISTRICT,South Goa,640537
31,000,STATE,LAKSHADWEEP,64473
31,587,DISTRICT,Lakshadweep,64473
32,000,STATE,KERALA,33406061
32,588,DISTRICT,Kasaragod,1307375
32,589,DISTRICT,Kannur,2523003
32,590,DISTRICT,Wayanad,817420
32,591,DISTRICT,Kozhikode,3086293
32,592,DISTRICT,Malappuram,4112920
32,593,DISTRICT,Palakkad,2809934
32,594,DISTRICT,Thrissur,3121200
32,595,DISTRICT,Ernakulam,3282388
32,596,DISTRICT,Idukki ,1108974
32,597,DISTRICT,Kottayam,1974551
32,598,DISTRICT,Alappuzha,2127789
32,599,DISTRICT,Pathanamthitta,1197412
32,600,DISTRICT,Kollam,2635375
32,601,DISTRICT,Thiruvananthapuram,3301427
33,000,STATE,TAMIL NADU,72147030
33,602,DISTRICT,Thiruvallur,3728104
33,603,DISTRICT,Chennai,4646732
33,604,DISTRICT,Kancheepuram,3998252
33,605,DISTRICT,Vellore,3936331
33,606,DISTRICT,Tiruvannamalai,2464875
33,607,DISTRICT,Viluppuram,3458873
33,608,DISTRICT,Salem,3482056
33,609,DISTRICT,Namakkal   ,1726601
33,610,DISTRICT,Erode,2251744
33,611,DISTRICT,The Nilgiris,735394
33,612,DISTRICT,Dindigul,2159775
33,613,DISTRICT,Karur ,1064493
33,614,DISTRICT,Tiruchirappalli,2722290
33,615,DISTRICT,Perambalur  ,565223
33,616,DISTRICT,Ariyalur  ,754894
33,617,DISTRICT,Cuddalore,2605914
33,618,DISTRICT,Nagapattinam  ,1616450
33,619,DISTRICT,Thiruvarur,1264277
33,620,DISTRICT,Thanjavur,2405890
33,621,DISTRICT,Pudukkottai,1618345
33,622,DISTRICT,Sivaganga,1339101
