State,District,City,Population,Area (in km^2),Latitude,Longitude
Gujarat,Valsad,Vapi,163630,0,20.37,72.92
Gujarat,Surat,Surat,4467797,326.515,21.17,72.83
Maharashtra,Nandurbar,Nandurbar,111037,1054,21.37,74.25
Maharashtra,Dhule,Dhule,375559,1972,20.9,74.77
Maharashtra,Jalgaon,Bhusawal,187421,453,21.05,75.8
Maharashtra,Jalgaon,Jalgaon,460228,822,21,75.56
Maharashtra,Akola,Akola,425817,1141,20.71,77
Maharashtra,Amravati,Achalpur,112311,667,21.25,77.5
Maharashtra,Amravati,Amravati,647057,904,20.94,77.78
Maharashtra,Wardha,Wardha,106444,775,20.73,78.6
Maharashtra,Wardha,Hinganghat,101805,911,20.55,78.84
Maharashtra,Nagpur,Nagpur,2405665,227.36,21.15,79.08
Maharashtra,Gondiya,Gondiya,132813,663,21.45,80.18
Maharashtra,Chandrapur,Chandrapur,320379,1180,19.97,79.3
Maharashtra,Yavatmal,Yavatmal,116551,1118,20.39,78.12
Maharashtra,Nanded,Nanded Waghala,550439,0,0,0
Maharashtra,Parbhani,Parbhani,307170,1131,19.26,76.77
Maharashtra,Jalna,Jalna,285577,1168,19.85,75.89
Maharashtra,Aurangabad,Aurangabad,1175116,1306,19.9,75.35
Maharashtra,Nashik,Malegaon,481228,1818,20.56,74.53
Maharashtra,Nashik,Nashik,1486053,891,20,73.79
Maharashtra,Thane,Vasai-Virar City,1222390,380,19.47,72.8
Maharashtra,Thane,Mira-Bhayandar,809378,79.4,19.3,72.85
Maharashtra,Thane,Thane,1841488,400,19.22,72.98
Maharashtra,Thane,Navi Mumbai,1120547,0,19.02,73.02
Maharashtra,Thane,Bhiwandi Nizampur,709665,0,19.29,73.06
Maharashtra,Thane,Kalyan-Dombivli,1247327,137.15,19.23,73.13
Maharashtra,Thane,Ulhasnagar,506098,13,19.22,73.15
Maharashtra,Thane,Badlapur,174226,35.68,19.17,73.24
Maharashtra,Thane,Ambarnath,253475,328,19.2,73.18
Maharashtra,Mumbai Suburban,Greater Mumbai,12478447,603,0,0
Maharashtra,Raigarh,Panvel,180020,613,18.98,73.1
Maharashtra,Raigarh,Navi Mumbai Panvel Raigarh,195373,0,0,0
Maharashtra,Pune,Pimpri Chinchwad,1727692,181,18.62,73.8
Maharashtra,Pune,Pune,3124458,331.26,18.52,73.86
Maharashtra,Ahmadnagar,Ahmadnagar,350859,39.3,19.08,74.73
Maharashtra,Bid,Bid,146709,45,18.99,75.76
Maharashtra,Latur,Latur,382940,1009,18.41,76.58
Maharashtra,Latur,Udgir,103550,736,18.39,77.11
Maharashtra,Osmanabad,Osmanabad,111825,1347,18.19,76.04
Maharashtra,Solapur,Barshi,118722,1542,18.23,75.68
Maharashtra,Solapur,Solapur,951558,180.67,17.66,75.91
Maharashtra,Satara,Satara,120195,911,17.69,74
Maharashtra,Kolhapur,Ichalkaranji,287353,49.84,16.71,74.46
Maharashtra,Kolhapur,Kolhapur,549236,66.82,16.69,74.24
Maharashtra,Sangli,Sangli Miraj Kupwad,502793,0,16.86,74.56
Andhra Pradesh,Adilabad,Adilabad,117167,35.5,19.67,78.53
Andhra Pradesh,Nizamabad,Nizamabad,311152,0,0,0
Andhra Pradesh,Karimnagar,Ramagundam,237559,93.87,18.75,79.47
Andhra Pradesh,Karimnagar,Jagtial,103930,45,18.8,78.93
Andhra Pradesh,Karimnagar,Karimnagar,283657,40.5,18.43,79.12
Andhra Pradesh,Hyderabad,GHMC,1730320,0,0,0
Andhra Pradesh,Hyderabad,GHMC,250932,0,0,0
Andhra Pradesh,Hyderabad,GHMC,135370,0,0,0
Andhra Pradesh,Hyderabad,Secunderabad,217910,64.5,17.45,78.5
Andhra Pradesh,Hyderabad,GHMC,172542,0,0,0
Andhra Pradesh,Hyderabad,GHMC,341099,0,0,0
Andhra Pradesh,Hyderabad,GHMC,153558,0,0,0
Andhra Pradesh,Hyderabad,GHMC,108062,0,0,0
Andhra Pradesh,Hyderabad,GHMC,189378,0,0,0
Andhra Pradesh,Hyderabad,GHMC,271385,0,0,0
Andhra Pradesh,Hyderabad,GHMC,442229,0,0,0
Andhra Pradesh,Hyderabad,GHMC,213359,0,0,0
Andhra Pradesh,Hyderabad,GHMC,468158,0,0,0
Andhra Pradesh,Hyderabad,GHMC,330193,0,0,0
Andhra Pradesh,Hyderabad,GHMC,237594,0,0,0
Andhra Pradesh,Hyderabad,GHMC,345722,0,0,0
Andhra Pradesh,Rangareddy,GHMC,309320,0,0,0
Andhra Pradesh,Rangareddy,GHMC,567996,0,0,0
Andhra Pradesh,Rangareddy,GHMC,383654,0,0,0
